Business Name,Address,City,State,Number of Reviews,Site,Phone,Photo,pricing,wide_selection,sell_antiques,sell_books,clean_organized,sell_clothes,sell_furniture,sell_jewelry,sell_gift_items,sell_premium_brand,sell_merchandise,friendly_employees
Potter's Clay Thrift Store,"1013 Malvern Ave, Hot Springs, AR 71901",Hot Springs,Arkansas,33,No data available,+1 501-620-4405,https://lh5.googleusercontent.com/p/AF1QipOV8JCDLXRupyfAVfcCIRL4fZ0dqOTUFgneSZ0=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Lsdsc Store,"1234 E Main St, Booneville, AR 72927",Booneville,Arkansas,25,No data available,+1 479-675-3533,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O_Jg0hGOrRIxM4NON9DDqA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=169.88544&pitch=0&thumbfov=100,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Ccm Thrift,"420 N Main St, Harrison, AR 72601",Harrison,Arkansas,30,No data available,+1 870-704-8030,https://lh5.googleusercontent.com/p/AF1QipMXaHdjUa4bdb0b9ThJ6cO8nwKPzYs2tCzvuM3n=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Dela Deville's Vintage,"120 W Emma Ave, Springdale, AR 72764",Springdale,Arkansas,32,https://www.deladevillesvintagespringdale.com/,+1 479-347-2357,https://lh5.googleusercontent.com/p/AF1QipMMaBCQ2NQKTH_g5DWItWkmXpKcfouH_ctbcVeO=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Sweet Home,"1324 Main St, Little Rock, AR 72202",Little Rock,Arkansas,27,No data available,+1 501-266-0493,https://lh5.googleusercontent.com/p/AF1QipMNi-WoH5YjjfjTj1JLlAef3GH0XmT13x5TgLu5=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
In Retrospect,"10 E Township St, Fayetteville, AR 72703",Fayetteville,Arkansas,202,No data available,+1 479-521-2100,https://lh5.googleusercontent.com/p/AF1QipN92ZvhR_rlmrrxwcJrW6L-Wil7-23fToZOJqCR=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Encore Clothes,"102 Public Square, Berryville, AR 72616",Berryville,Arkansas,63,https://m.facebook.com/Shopencoreclothes/,+1 501-602-3066,https://lh5.googleusercontent.com/p/AF1QipO6ktDYz7Zl13n_zYjchvLVIiWp_h9wqjyfz50y=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Once Upon A Child,"2116 Fair Park Blvd., Jonesboro, AR 72401",Jonesboro,Arkansas,271,http://www.onceuponachild.com/locations/jonesboro-ar,+1 870-932-0202,https://lh5.googleusercontent.com/p/AF1QipNWpt4IOdQNBTjxth7ygvVHjKv4jijIs5MXehqL=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cheap Thrills,"120 S E Ave, Fayetteville, AR 72701",Fayetteville,Arkansas,220,No data available,+1 479-442-7735,https://lh5.googleusercontent.com/p/AF1QipOSPjBmG39J1tnWglPzmFJCt28KcWgDArcdSpVP=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Attic Treasure,"614 E Main St, Van Buren, AR 72956",Van Buren,Arkansas,27,https://www.facebook.com/perrysattictreasures,+1 479-262-6027,https://lh5.googleusercontent.com/p/AF1QipNUoFxUUaCvlpnRMJkRpiOmHSbwnJ-uOM1Kz6Ad=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hidden Treasures Antiques And Collectibles,"501 S Main St, Berryville, AR 72616",Berryville,Arkansas,66,https://www.facebook.com/Hidden-Treasures-Antique-Mall-103466514794781/,+1 870-505-2008,https://lh5.googleusercontent.com/p/AF1QipOPGoUy4uQ14BNT2xcDDusCRcAHsam-OBU_G6Jz=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Second Chances Thrift Store,"1519 E Main St, Magnolia, AR 71753",Magnolia,Arkansas,33,No data available,+1 870-234-8255,https://lh5.googleusercontent.com/p/AF1QipMghXYxdfmCZUE51iaCHYTZCOKftQbg6FEMx4DV=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Sheltered Workshop-Ashley,"208 N Arkansas St, Crossett, AR 71635",Crossett,Arkansas,31,No data available,+1 870-364-2535,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zB2VlXQIhEd2M6KTZtFDPg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=261.90353&pitch=0&thumbfov=100,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Good Shepherd Humane Society Thrift Store,"602 US-62 Spur, Berryville, AR 72616",Berryville,Arkansas,63,https://goodshepherd-hs.org/,+1 870-423-2870,https://lh5.googleusercontent.com/p/AF1QipMKjFRAlWrpXZVuiWCmXOcBcMnOpF2EnGJ7iFeP=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cotton Pickin Vintiques,"800 AR-18, Lake City, AR 72437",Lake City,Arkansas,26,https://m.facebook.com/CottonPickinVintiques/,+1 870-237-4164,https://lh5.googleusercontent.com/p/AF1QipM76Bt149W1nJtMVk_RhsJLOfl7XbHXMEqT9QjT=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Key Elements,"1225 Ferguson Dr, Benton, AR 72015",Benton,Arkansas,104,http://keyelementsresale.net/,+1 501-794-1140,https://lh5.googleusercontent.com/p/AF1QipPwef6rHmFTwbC7m_iPWv_8hD4o4N2z_HRAXNS-=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Habitat For Humanity Of White County,"1315 W Beebe Capps Expy, Searcy, AR 72143",Searcy,Arkansas,129,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Vilonia Treasure Chest,"1046 Main St, Vilonia, AR 72173",Vilonia,Arkansas,69,http://viloniatreasurechest.com/,+1 501-808-9364,https://lh5.googleusercontent.com/p/AF1QipNnXOKq5620r0cVJH2gqLJ5Y0D54ndPmLTeG2A8=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Stop Animal Cruelty Thrift Shop,"821 Hobson Ave, Hot Springs, AR 71913",Hot Springs,Arkansas,38,http://www.sachsgc.com/,+1 501-620-3160,https://lh5.googleusercontent.com/p/AF1QipMblDSc0Lny-bWxh5HSKwkIFKTD05fYe_U8Ujkk=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Shabby Pig,"907 W Main St, Clarksville, AR 72830",Clarksville,Arkansas,31,https://www.shabbypig.com/,+1 479-705-0791,https://lh5.googleusercontent.com/p/AF1QipNAWp7-YLY-8HX8KbMeavcRKWI8EVMkkKHvvihX=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Double B Vintage Market,"420 Co Rd 409, Jonesboro, AR 72404",Jonesboro,Arkansas,145,https://www.facebook.com/doubleBvintagemarket,+1 870-790-1163,https://lh5.googleusercontent.com/p/AF1QipPihapNXs1cO-muEUhZmxkexriVcPAC3iTbCTUs=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Clothes Mentor Little Rock,"12111 W Markham St, Little Rock, AR 72211",Little Rock,Arkansas,132,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Furnishings 4 Less,"4310 S Thompson St, Springdale, AR 72764",Springdale,Arkansas,577,https://www.furnishings4less.com/,+1 479-365-7046,https://lh5.googleusercontent.com/p/AF1QipM7dxprp0z7d6HGoWvxprJcoFukHwgsl1ep2yq5=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Pawn Kings 2,"1523 S 4th St, Nashville, AR 71852",Nashville,Arkansas,55,No data available,+1 870-200-7428,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cIGgu7Yi5XBZ1iGdCR4gNQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=92.06632&pitch=0&thumbfov=100,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Big Steve's Gold & Pawn Emporium,"1972 US-62 BUS, Mountain Home, AR 72653",Mountain Home,Arkansas,93,No data available,No data available,No data available,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Treasures At Century Plaza,"3702 Century Dr, Fort Smith, AR 72903",Fort Smith,Arkansas,191,No data available,+1 479-646-9136,https://lh5.googleusercontent.com/p/AF1QipOid0YW4wAKx-sMOnLz052eSBDb4qhSe_xsFcSV=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Ozark Share & Care,"105 US-62, Harrison, AR 72601",Harrison,Arkansas,144,http://www.ozarkshareandcare.org/,+1 870-741-3130,https://lh5.googleusercontent.com/p/AF1QipNWeqsZocz7ta2D0NA6oj6JikO_7BvCC8JaKQaJ=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
More Old Treasures Thrift Store,"1019 Malcolm Ave, Newport, AR 72112",Newport,Arkansas,26,http://www.arcenterforindependence.org/,+1 870-523-1017,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OSL33kX9LAqEvdKsIsNXIg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=0.5009687&pitch=0&thumbfov=100,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
South Main Creative,"1600 Main St, Little Rock, AR 72206",Little Rock,Arkansas,82,http://www.southmaincreative.com/,+1 501-414-8713,https://lh5.googleusercontent.com/p/AF1QipMXiAx3qTNpgj7Cf26WDCKExUJATJtu5D2fHTVG=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Sheri's,"5305 Rogers Ave, Fort Smith, AR 72903",Fort Smith,Arkansas,85,http://www.sherisbridalandformal.com/,+1 479-763-1516,https://lh5.googleusercontent.com/p/AF1QipOoM3bYPcEhoS6c6lQtAcLUSRB74HGRumcbEMtq=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Rusty Rooster Flea Market & Antique Mall,"1340 Hwy 62 E, Mountain Home, AR 72653",Mountain Home,Arkansas,267,No data available,+1 870-425-2667,https://lh5.googleusercontent.com/p/AF1QipMiiaNgsrfMlUqwrRAxv80aQhTTC4U26sTQcaen=w800-h500-k-no,Mid-Range,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Southern Style,"116 S Main St, Bentonville, AR 72712",Bentonville,Arkansas,26,https://southernstylebentonville.com/,+1 479-715-6610,https://lh5.googleusercontent.com/p/AF1QipNGqt2qYZp1KSrJt2GP9gD_V2KRzBMchtkbspC_=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
By The Water Tower Antiques,"141 S B St, Exeter, CA 93221",Exeter,California,76,No data available,+1 559-594-4060,https://lh5.googleusercontent.com/p/AF1QipN4K1CCkUdNy6W7Re1sQrXIgl4-LoWNlzJCS230=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Reedley Trading Post,"965 I St, Reedley, CA 93654",Reedley,California,31,http://www.reedleytradingpost.com/,+1 559-637-1177,https://lh5.googleusercontent.com/p/AF1QipPy09UM-ShjbtPG5UVK8QUMxrDlYdSajgVLPfF9=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Retail Store And Donation Center,"1676 Main St, Ramona, CA 92065",Ramona,California,115,https://www.sdgoodwill.org/,+1 760-440-9440,https://lh5.googleusercontent.com/p/AF1QipO0-u2b8-CzSTMKIAUN-PwApevuIltubYRZMKt3=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Catholic Charities,"52555 Oasis Palm Ave, Coachella, CA 92236",Coachella,California,51,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Wynola Junction Antiques & Collectibles,"4326 CA-78, Julian, CA 92036",Julian,California,118,http://www.wynolajunctionantiques.com/,+1 760-765-4758,https://lh5.googleusercontent.com/p/AF1QipMS4HKuftr-uzBkzo1F_nGp6bi-4gxTXrMW0U0e=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
My Best Friend's Closet | Tracy,"53 W 10th St, Tracy, CA 95376",Tracy,California,63,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Car Cats Auto Sales,"4099 W Florida Ave, Hemet, CA 92545",Hemet,California,51,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
American Cancer Society Discovery Shop - Salinas,"1534 N Main St, Salinas, CA 93906",Salinas,California,25,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Bulldog Liquidators,"9525 De Soto Ave, Chatsworth, CA 91311",Chatsworth,California,93,https://bulldogliquidators.com/,+1 818-527-1412,https://lh5.googleusercontent.com/p/AF1QipPH8SfP-6mQg8niJ2RGBFUGIDvtCrDWW76o3-dZ=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Southern California Store & Donation Center,"5855 Lankershim Blvd, North Hollywood, CA 91601",North Hollywood,California,247,http://www.goodwillsocal.org/,+1 818-763-1245,https://lh5.googleusercontent.com/p/AF1QipOtECf81zd7I9xW5hJanZB2eC-8QWnTvmxEpQAa=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Of Orange County,"790 N Brookhurst St, Anaheim, CA 92801",Anaheim,California,29,https://www.ocgoodwill.org/stores-donation-center/,+1 714-399-0624,https://lh5.googleusercontent.com/p/AF1QipMf_Nc2xvo1vmWoPrsM9n_eOw7hi4z6LMIDxvT3=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Love Inc Thrift Store,"316 E Kern Ave, Tulare, CA 93274",Tulare,California,54,http://loveincoftularecounty.com/,+1 559-467-5167,https://lh5.googleusercontent.com/p/AF1QipM81HnoA6aZjgBzRIbAPOdg5XJgcz24I33F36AZ=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Thrift Center,"Parkwood Village Shopping Center, 12889 CA-145 # 1, Madera, CA 93637",Madera,California,178,No data available,+1 559-395-4550,https://lh5.googleusercontent.com/p/AF1QipNyr8m0sXzl45R-ybnFUzGRd-tpG7olcqIEQlG6=w800-h500-k-no,Low,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Bobs Army Navy Store,"2100 Mono St, Mojave, CA 93501",Mojave,California,100,No data available,+1 661-824-3333,https://lh5.googleusercontent.com/p/AF1QipO0C13CRpPwrcVkPrzV8kuspGPxisl0rZkGfSFK=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Barn Florist & Mercantile Store,"13277 I-8BL, El Cajon, CA 92021",El Cajon,California,67,https://www.thebarnflorist.com/,+1 619-592-4444,https://lh5.googleusercontent.com/p/AF1QipMqPNM-iccdEDEU2u-hyCe0MabGCOJIyvGhw6E6=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
High Street Boutique,"1965 High St, Selma, CA 93662",Selma,California,44,No data available,+1 559-898-0304,https://lh5.googleusercontent.com/p/AF1QipOC2qRbSKrEXT5dwdMoAlDPQohr73gzrY27smQZ=w800-h500-k-no,High,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Nader's Furniture Store,"456 Carson St, Carson, CA 90745",Carson,California,115,https://www.naders.com/,+1 310-834-7979,https://lh5.googleusercontent.com/p/AF1QipPvRROnkUviH7vHhysCHdeDAclsBBihCWOArVhH=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Glenna's Rescued Treasures,"2977 Solano Ave, Napa, CA 94558",Napa,California,68,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Attic,"3354 Glendale Blvd, Los Angeles, CA 90039",Los Angeles,California,43,https://www.instagram.com/the.attic.la/,+1 323-407-6650,https://lh5.googleusercontent.com/p/AF1QipNz-0c6pUlW8lOPUvvFS6aexO9b02a_ClNxaK8p=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Of Orange County,"675 N Euclid St, Anaheim, CA 92801",Anaheim,California,190,https://www.ocgoodwill.org/stores-donation-center/,+1 714-635-8035,https://lh5.googleusercontent.com/p/AF1QipNXPX-O0srOCy-uDdMZjHFbPeXS6ejDBMGH67GR=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Hope Chest,"2095 E Main St, Quincy, CA 95971",Quincy,California,30,No data available,+1 530-283-3627,https://lh5.googleusercontent.com/p/AF1QipPN_M9XfWMPpUVOAYPHkkUHlKC-bGnJHzwrrMdv=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Country Porch Antiques,"13201 US-101, Hopland, CA 95449",Hopland,California,147,https://m.facebook.com/Country-Porch-Antiques-by-Oat-Valley-Vintage-645656272141450/,+1 707-744-1007,https://lh5.googleusercontent.com/p/AF1QipNSfA_rD7dIsJCp8st_CfD0Fd7UQFMurXEhGw6f=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Second Chances Thrift,"35049 Ave D, Yucaipa, CA 92399",Yucaipa,California,72,No data available,0,https://lh5.googleusercontent.com/p/AF1QipO1rXU8ARKLrl45Oa7NwQHyULYBUPeervzv7aP9=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Southern California Store & Donation Center,"14580 7th St, Victorville, CA 92395",Victorville,California,309,http://www.goodwillsocal.org/,+1 760-241-3079,https://lh5.googleusercontent.com/p/AF1QipPLpMQxVKmogV2w69Gl_KUijKEVET3K3Zp51pSV=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Bargain Sales,"3811 Sierra Hwy, Acton, CA 93510",Acton,California,71,No data available,+1 661-269-0413,https://lh5.googleusercontent.com/p/AF1QipPCPqrq6nVOlNpdKFagmEWzuCji_KG2dQEGmuuq=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Once Upon A Child - Vacaville,"2041 Harbison Dr, Vacaville, CA 95687",Vacaville,California,128,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Southern California Store & Donation Center,"7211 Boulder Ave, Highland, CA 92346",Highland,California,106,https://www.goodwillsocal.org/,+1 909-907-7945,https://lh5.googleusercontent.com/p/AF1QipMNiwY_tEMlMLsCK7KT8GoCLycv7aX6Je0o_g1i=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
American Cancer Society Discovery Shop - Los Angeles,"844 S Robertson Blvd, Los Angeles, CA 90035",Los Angeles,California,37,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Classic Loot - Buy,"570 N 6th St, San Jose, CA 95112",San Jose,California,31,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Of Orange County,"11052 Magnolia St, Garden Grove, CA 92841",Garden Grove,California,476,https://www.ocgoodwill.org/stores-donation-center/,+1 714-590-6996,https://lh5.googleusercontent.com/p/AF1QipMqxM-47br1i-j6sFKEJylEl-sOh1V8GD4-gTNy=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Southern California Store & Donation Center,"3637 Tweedy Blvd, South Gate, CA 90280",South Gate,California,123,http://www.goodwillsocal.org/,+1 323-374-6263,https://lh5.googleusercontent.com/p/AF1QipPeDgShO1wBWcVj7diDY8QJnXVAlV_B2SJPDIt9=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Golden Gait Mercantile,"421 Main St, Ferndale, CA 95536",Ferndale,California,166,http://www.goldengaitmercantile.com/,+1 707-786-4891,https://lh5.googleusercontent.com/p/AF1QipNlTn3VYFBPI66pisGOh_XKiWAIZYCziX-dSDiQ=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Community Thrift Store,"3231 E Florence Ave, Huntington Park, CA 90255",Huntington Park,California,48,No data available,0,https://lh5.googleusercontent.com/p/AF1QipP8UQlZyMjzq8LtmjOs4IY7h15cI1nZhsXyxpdz=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Shane Co.,"19900 Stevens Creek Blvd, Cupertino, CA 95014",Cupertino,California,578,https://www.shaneco.com/,+1 408-446-3300,https://lh5.googleusercontent.com/p/AF1QipNpws8kDVL3mXf4R6IcLVjom-vojWpujOPBaTBk=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Vintage Market,"838 Butte St, Redding, CA 96001",Redding,California,89,http://www.facebook.com/thevintagemarketredding/,+1 530-941-1401,https://lh5.googleusercontent.com/p/AF1QipNkOHBwfW5FlfN4YTxkPzGICvWAL0jMOFcfZXHE=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Mid Century Sacramento,"1112 C St, Sacramento, CA 95814",Sacramento,California,28,https://midcenturysacramento.com/,+1 209-329-4133,https://lh5.googleusercontent.com/p/AF1QipNNMhHLmtLstjKGwi_9GkAUk9Ud4qUT3DeaurYl=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Bellisima Creations,"807 23rd St, Richmond, CA 94804",Richmond,California,32,No data available,+1 510-232-2204,https://lh5.googleusercontent.com/p/AF1QipMJtfPgVoFmMzemagyIKeoWZ0C_KfeY_bq8om6u=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Ruby's New & Used Tires,"10109 Main St, Lamont, CA 93241",Lamont,California,82,No data available,+1 661-845-1720,https://lh5.googleusercontent.com/p/AF1QipPdGTpERGsi7lM5my06W5u8Xt8JwDKIitgzfmnD=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Gran Plaza Outlets,"888 W 2nd St, Calexico, CA 92231",Calexico,California,4929,https://www.granplazaoutlets.com/,+1 760-768-9002,https://lh5.googleusercontent.com/p/AF1QipPWowat8JYU8svroJP6uUzaX4INMc8BK4PjlTMd=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Dixon Wellness Collective,"1150 N 1st St, Dixon, CA 95620",Dixon,California,606,https://www.dixonwellnesscollective.com/,+1 707-640-1147,https://lh5.googleusercontent.com/p/AF1QipMBVavRoD9nE9uxHiEBczccbb5KIuJ9PjiHCA1X=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Barstow Dollar,"943 Armory Rd, Barstow, CA 92311",Barstow,California,177,No data available,+1 760-818-4060,https://lh5.googleusercontent.com/p/AF1QipMcPqAHkx_S7AXEFHEt95X4wDyHjN5Rdqpsqkbm=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Athena's Closet Vintage & Thrift,"20031 CA-108, Sonora, CA 95370",Sonora,California,43,https://www.facebook.com/AthenasVintageAndThrift/?ref=bookmarks,+1 209-532-5321,https://lh5.googleusercontent.com/p/AF1QipPR8pTC2OYvIfG_d8ikOhveToJHj0TelUIKNdaN=w800-h500-k-no,Low,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Trinidad Trading Co,"460 Main St, Trinidad, CA 95570",Trinidad,California,88,https://trinidadtrading.com/,+1 707-677-0711,https://lh5.googleusercontent.com/p/AF1QipM-2hh9DAsJ8pNIOT400WqIhJn9yzkNbLPJGopU=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Assistance League Thrift Shop,"526 Glenneyre St, Laguna Beach, CA 92651",Laguna Beach,California,52,http://www.assistanceleague.org/laguna-beach/,+1 949-494-5977,https://lh5.googleusercontent.com/p/AF1QipN-mkVEkHK3n8C_cXZlAypo80vZNRaLpYukLfkS=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Harlow's Restaurant,"31474 Golf Club Dr, Bonsall, CA 92003",Bonsall,California,135,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Something Old,"26413 Jefferson Ave suite f, Murrieta, CA 92562",Murrieta,California,73,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Terra Cottage,"1005 Galleria Blvd STE 120, Roseville, CA 95678",Roseville,California,30,http://terracottageshop.com/,+1 916-899-6721,https://lh5.googleusercontent.com/p/AF1QipMn2u_2hLd-3FCFDpreQQ0N73lKoZjHTPArw5bW=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Clovis Antique Mall,"532 5th St, Clovis, CA 93612",Clovis,California,189,https://clovisantiques.com/,+1 559-298-1090,https://lh5.googleusercontent.com/p/AF1QipN5pvbzXyLK57LeGq0LPmvNeXCVDkE6e5gjjLXc=w800-h500-k-no,Mid-Range,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Opportunity House Thrift Store,"1819 N Texas St, Fairfield, CA 94533",Fairfield,California,42,No data available,No data available,No data available,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Earthbound Trading Co.,"1001 Heavenly Village Way Space 8, South Lake Tahoe, CA 96150",South Lake Tahoe,California,156,https://www.earthboundtrading.com/,+1 530-542-1805,https://lh5.googleusercontent.com/p/AF1QipNYx7vG1WUrZF_DGCN6RwCR0vsHX2B9tIZ_lKA2=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
La Cache,"400 N Downing St, Denver, CO 80218",Denver,Colorado,53,https://www.childrenscolorado.org/community/support-childrens-colorado/visit-our-la-cache-consignment-shop/,+1 303-871-9605,https://lh5.googleusercontent.com/p/AF1QipO0pTfk2w0jdEecAo4tJeLWFfJP2qsO1WjZRoXm=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Upscale Resale,"128 Main St, Delta, CO 81416",Delta,Colorado,38,https://m.facebook.com/pages/Upscale-Resale/115642122109298,+1 970-399-3374,https://lh5.googleusercontent.com/p/AF1QipMuJNCnLkvMsWRWzYt6I0l6f0nyAUS3nwm1Orjk=w800-h500-k-no,High,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes
Silver Key Thrift Store: Tri-Lakes,"755 CO-105, Palmer Lake, CO 80133",Palmer Lake,Colorado,46,https://www.silverkey.org/thrift-store/,+1 719-488-3495,https://lh5.googleusercontent.com/p/AF1QipM_Z9opFmoOW1WbBjgxnfB7ojsq6LPLe6rMwrf0=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
